entid,cluster
722691858,0
705310922,-1
412086145,-1
1116571015,-1
500970908,-1
1057654777,-1
371713118,-1
882446289,42
548493601,-1
424989205,205
162729196,-1
309977928,-1
558388192,-1
896876904,-1
206555162,-1
1157977132,-1
580170754,164
100425290,333
388516157,-1
698946445,136
1141344782,111
570077886,168
672082440,143
899568771,-1
726735583,-1
783395514,19
738818162,541
752577853,-1
471239918,342
589353712,336
1189025517,122
993295834,71
491251458,186
876795652,40
781576227,332
702990878,-1
535352782,173
1204996213,125
534082754,174
886830685,-1
434535004,202
543890956,-1
199732240,-1
682537294,139
640450849,149
333686413,-1
982046039,-1
74906695,303
884853596,-1
500016024,-1
479006038,-1
530649537,174
572538608,-1
159157541,-1
435933247,201
858118052,37
532398636,-1
440133186,-1
499232727,183
1173942093,662
588320433,-1
60973352,308
514259305,179
346671211,-1
589095801,-1
377705656,-1
842088100,33
314383006,-1
690756846,-1
779928235,332
150680780,-1
95375757,-1
132799368,338
312152062,-1
440481144,200
115726514,291
1151354220,112
460104494,192
763577842,549
349722036,-1
773481184,-1
1124148664,-1
1000685535,-1
207483814,409
302806995,240
1155046364,-1
920321812,-1
511889456,180
793823151,-1
21495398,319
984763588,331
702255789,135
757657917,-1
642702743,330
676953669,142
98029885,297
1170430006,-1
1171029049,661
1134988699,-1
354934080,-1
501284869,-1
389991809,-1
823753595,30
103873188,370
931854045,56
236203073,-1
925128027,-1
869052952,39
706992684,-1
541074519,492
301743547,240
779108758,-1
201934483,-1
898832183,-1
976639581,68
228182297,258
971837647,-1
338094005,-1
637079923,330
664043828,145
1148827754,-1
93483092,-1
278469566,246
860165968,-1
36314847,314
499835405,483
796034628,-1
908910575,50
876098486,40
1156613538,113
91850727,-1
597303107,161
594044076,-1
855315125,576
96684219,338
559056077,-1
234672002,-1
152935696,281
279413112,335
21013823,-1
795933195,21
1160651495,-1
194632375,-1
1001486243,-1
723394308,0
487069415,-1
498015441,183
126131663,-1
304651929,239
691933262,-1
660529291,521
863065175,38
519478266,177
616014124,-1
1151352690,-1
687434437,-1
545110976,-1
640634768,-1
417024900,207
1020651292,79
210467886,263
901442380,587
72751747,-1
179736494,398
968596017,-1
149089962,-1
1084529852,95
28115559,-1
879756096,-1
1050687001,86
212403366,262
361015755,224
694908503,-1
368305758,222
615971298,155
1064559629,88
1101944932,101
63165459,-1
790389876,20
914550718,-1
518382911,-1
941804680,59
708538081,-1
159872005,391
1183518695,-1
996056694,72
724805518,-1
85580779,-1
159559301,-1
403721550,-1
834914998,-1
40431646,-1
392017860,-1
694488174,-1
1031468583,82
1234077177,132
725319392,-1
659104221,-1
68687328,306
166869326,-1
1194794368,-1
701620490,135
739378963,-1
25272201,318
1213633567,-1
138874014,285
246779029,-1
624346306,-1
866893485,579
756490410,-1
806793229,-1
634715264,151
979782641,-1
1184142613,-1
549190134,171
1018645353,-1
5503066,324
1019081039,78
26575424,-1
646618607,148
913367375,-1
1121720437,-1
106493943,294
367149101,-1
23396983,-1
1050585695,-1
706063241,134
271874611,-1
754401537,-1
1054940749,87
532703855,-1
588112005,-1
120527222,-1
894251596,46
844571032,34
1031288467,-1
244208972,421
581905153,-1
553181905,-1
751034805,-1
928467304,-1
814820539,28
205974207,265
289045650,-1
804550396,25
1157719592,113
1148422298,-1
589907050,-1
286249077,244
767933803,-1
545229784,-1
369907769,221
595732139,161
975529059,68
196371498,269
342149367,230
665767247,144
505192797,-1
839154556,33
1063866717,88
855724058,-1
489696441,187
1142187243,652
484409931,-1
1217755268,128
266874547,-1
316944600,236
321871524,234
744703328,7
690187757,138
1227739246,131
322152429,234
508315671,-1
1134929168,-1
284014779,244
791724997,20
420705509,206
668155588,144
577990491,165
176047002,276
21798098,-1
738883150,6
939065635,595
81775757,-1
609942716,-1
690106356,138
176126365,-1
124313005,-1
611529414,-1
1068058034,-1
1121892305,-1
1181140436,-1
933133385,-1
891264646,45
921712686,-1
113667724,-1
185352028,-1
553289910,-1
370319496,221
346753942,-1
433826153,-1
508742526,-1
888379768,-1
688037490,-1
527499435,-1
331801501,-1
755895593,-1
344119878,229
963336754,-1
464075119,-1
13279008,321
1011893787,-1
1016871891,-1
417728944,-1
833799090,-1
616344807,-1
781273688,18
1201794855,668
1227831408,131
178632942,274
1038008011,622
419920870,206
173425626,-1
1036314541,-1
1072629361,-1
603068318,158
212531966,346
1165393049,-1
462990424,-1
1136409037,-1
721532497,-1
366361923,454
770939355,15
410981516,-1
779757329,18
308709372,238
1009417195,-1
1113909111,103
360000965,-1
1113943591,645
152243667,-1
627347298,513
392015473,-1
727646132,-1
223066538,415
483311587,-1
148121288,-1
175672249,276
413413956,-1
905903929,49
286475128,433
35576728,315
942672318,-1
769342400,15
984747078,-1
545175795,-1
982454593,605
623813104,512
1037858272,622
663512580,145
805505073,-1
1156949749,113
1151456656,654
1048193711,-1
223625370,415
749231957,-1
105365710,333
1097099710,640
714619156,-1
472649675,-1
1132585533,-1
315626465,-1
873122057,40
171740056,-1
929165663,-1
533874303,-1
570963636,497
679864767,140
1231792344,-1
856066498,-1
633862406,151
944457930,60
274801611,-1
1155077540,-1
473527933,189
650959739,-1
346431684,-1
891179924,-1
218481195,260
184267873,-1
382115896,217
966058191,-1
893456351,46
394879016,-1
876662230,-1
950005101,61
980241256,337
117159066,-1
141147033,-1
247515045,-1
668977235,-1
1178956600,-1
218533905,413
188967987,402
412503007,208
1227965828,-1
188201477,271
884756030,-1
254587405,424
60728002,357
404667488,-1
485876601,-1
732596560,-1
887286152,-1
218841277,413
26579024,-1
919427173,590
378152213,-1
703724512,-1
385021799,-1
819293628,29
370924930,-1
1122027783,-1
489884570,-1
327016284,233
134796652,385
1215309197,671
483199023,-1
1127471433,107
1146738440,-1
131029626,-1
772956251,-1
411962833,464
820505508,-1
419002190,-1
788563071,554
213823685,411
1233056751,-1
755138139,10
790451682,555
283130984,245
448358744,196
874134748,40
38096340,313
1217886527,-1
444577310,-1
414892599,-1
1200033345,-1
332629236,-1
629404286,-1
1134121154,-1
1088045711,-1
209502825,410
955997658,62
999053299,-1
479087523,-1
813462119,27
15641748,-1
913734239,-1
247942982,423
819325590,-1
200451685,-1
755524244,547
219879421,-1
69231525,-1
897504054,47
935895460,-1
917987559,-1
49593012,360
818330518,564
1020606618,-1
252468268,-1
985979959,-1
968736980,-1
831905311,-1
838228613,570
329457193,-1
46414805,361
1012943604,-1
736068225,540
285835048,-1
602830192,-1
5286196,324
1008020250,-1
1037971451,622
1120440764,-1
437089981,201
982196289,69
461240842,192
358876705,-1
1190952326,-1
267619155,426
409620237,463
218378462,-1
406799961,-1
408897556,-1
1064108542,-1
803824964,-1
1153681583,655
1222706126,-1
767528835,-1
11458538,322
716323930,-1
1009860918,-1
230488246,-1
1137782788,651
50312061,310
625732720,-1
765198885,-1
754806435,547
1015273128,-1
160507891,-1
600390945,-1
342041836,-1
411062596,-1
1232844192,-1
348656579,227
284504445,-1
983049526,69
600045697,-1
136783549,-1
305990988,-1
949228534,598
1026556357,-1
1088880330,-1
1196830659,-1
365691958,-1
575061243,-1
716838666,3
1197981808,-1
978106418,331
842876080,571
639741680,-1
79816388,351
1076663969,632
983603077,-1
107148061,-1
540342722,-1
243845370,421
22531513,-1
1099542363,641
265361834,249
399356904,-1
592877061,-1
392478952,-1
596825089,336
484548985,-1
476250185,-1
1118620932,646
1121113591,105
615463212,-1
713866793,348
221711104,-1
1159370576,657
95491398,-1
1184047865,-1
899842500,-1
577435847,498
970374645,-1
223480763,-1
1169896909,-1
1217205691,127
1200164094,-1
357334611,225
189837841,680
974430232,67
177059974,275
754952218,10
21636472,-1
317141923,-1
1180822187,-1
690609479,528
1050673994,86
1133085068,650
872596696,-1
915691115,-1
635899624,150
1222272542,-1
606216635,-1
885229866,43
510742071,180
590159755,-1
1201296464,-1
22065829,-1
347228778,-1
286314773,433
567996884,-1
427987005,204
485493682,-1
197517280,-1
560897263,-1
829249405,-1
1197843583,667
66139401,307
999723888,-1
1134607355,-1
619266132,-1
41982245,-1
688774607,138
361894411,224
29978271,367
588745485,501
207210491,-1
27029582,-1
525347784,175
409058800,-1
1016884114,-1
871756889,-1
895431324,-1
6661687,-1
1033329062,-1
869977854,580
397732299,461
738758084,6
229003246,-1
711339797,5
88140134,-1
65586846,-1
1090600784,637
985540558,-1
136353503,-1
213391598,-1
864225212,38
467423581,-1
201509476,267
727318759,-1
311613792,440
995515680,-1
70562840,-1
115388857,373
713507630,-1
211208869,-1
759738693,548
576891832,165
133175595,287
803268941,24
775817491,17
673580467,-1
1158117360,-1
1126748987,-1
676369364,-1
1229759500,-1
96647458,-1
1233823545,677
432256619,-1
1146888201,653
