entid,CaseType,Probability,lime
236203073,3,[0.00700527 0.02515165 0.01591481 0.95192827],"[('LIMPARNUM <= 0.00', 0.17741735466358313), ('region_id > 348.50', 0.1768879082905714), ('registertype <= 8.00', 0.15388855038692617), ('taxtype6 <= 0.00', -0.13375503886285736), ('taxtype2 <= 0.00', 0.12414426871019577), ('certificate_num <= 0.00', 0.11557290575461532), ('EXENUM <= 0.00', 0.10719811462202156), ('so1 <= 0.00', 0.08859389226546158), ('taxtype0 <= 0.00', -0.08197885142006615), ('taxtype1 <= 0.00', -0.020824760933936773)]"
278469566,3,[0.0066932  0.00795342 0.00867327 0.97668011],"[('region_id > 348.50', 0.18708022559359488), ('EXENUM <= 0.00', 0.16994791094767278), ('registertype <= 8.00', 0.15250808042131175), ('taxtype0 <= 0.00', 0.1370758242563338), ('certificate_num <= 0.00', 0.1346968763093285), ('illegad_num <= 0.00', 0.11072462370014961), ('taxtype4 <= 0.00', 0.09336439001408531), ('so1 <= 0.00', 0.08038699401226035), ('taxtype2 <= 0.00', 0.07336958019556657), ('tax_dum <= 0.00', 0.07044675762665883)]"
796034628,3,[0.00698721 0.00764437 0.01360647 0.97176196],"[('9.91 < BUSST <= 11.00', 0.30630621098441696), ('region_id > 348.50', 0.17399092528619925), ('registertype <= 8.00', 0.15766877862090278), ('certificate_num <= 0.00', 0.12729085654693106), ('taxtype0 <= 0.00', -0.11754179316020427), ('illegad_num <= 0.00', -0.07794694115438278), ('ALTTIME > 9.00', -0.07342118041139893), ('honor_num <= 0.00', -0.0713562812299517), ('so1 > 0.00', -0.06955904776284004), ('ttype_abnormal_2 <= 0.00', 0.0661325026489039)]"
908910575,3,[0.01212885 0.01378396 0.01372972 0.96035747],"[('9.91 < BUSST <= 11.00', 0.30349231069871774), ('region_id > 348.50', 0.17499449224175406), ('taxtype3 <= 0.00', -0.17349778555393872), ('registertype <= 8.00', 0.15931647797441598), ('certificate_num <= 0.00', 0.11800278484468085), ('EXENUM <= 0.00', 0.08682159800162217), ('so1 <= 0.00', 0.0821182957104291), ('taxtype1 <= 0.00', -0.06691798638106092), ('taxtype2 <= 0.00', -0.06107335870900116), ('honor_num <= 0.00', 0.049839614178427714)]"
152935696,3,[0.01736769 0.01472678 0.01596302 0.95194251],"[('9.91 < BUSST <= 11.00', 0.3099818127686201), ('region_id > 348.50', 0.1809904752425583), ('registertype <= 8.00', 0.15796313964131858), ('taxtype6 <= 0.00', 0.1266467297215236), ('certificate_num <= 0.00', 0.12508466755797298), ('LIMPARNUM <= 0.00', -0.10324077379293971), ('tax_dum <= 0.00', 0.09867283411730667), ('taxtype2 <= 0.00', 0.07838979421437149), ('ttype_abnormal_2 <= 0.00', 0.07080932419142766), ('taxtype3 <= 0.00', 0.04902158161496541)]"
498015441,3,[0.02623066 0.03823079 0.1151845  0.82035406],"[('9.91 < BUSST <= 11.00', 0.3091655941664473), ('region_id > 348.50', 0.18053697904640187), ('registertype <= 8.00', 0.16597113450109652), ('taxtype0 <= 0.00', 0.12269587424577467), ('certificate_num <= 0.00', 0.12028590088661155), ('EXENUM <= 0.00', 0.09715926105131854), ('ttype_abnormal_2 <= 0.00', 0.09467275923370888), ('taxtype3 <= 0.00', -0.07632982409992646), ('taxtype2 <= 0.00', 0.06759097954806306), ('taxtype6 <= 0.00', -0.041450449460508625)]"
545110976,3,[0.00705094 0.00741823 0.01209295 0.97343788],"[('taxtype6 <= 0.00', 0.20065306709996983), ('region_id > 348.50', 0.18740069128049117), ('registertype <= 8.00', 0.14847846738990753), ('taxtype0 <= 0.00', 0.14250014127274163), ('certificate_num <= 0.00', 0.12372288546709108), ('taxtype5 <= 0.00', -0.10741892556760092), ('EXENUM <= 0.00', 0.10171008755718111), ('taxtype2 <= 0.00', 0.10058843070621575), ('taxtype4 <= 0.00', -0.0994161215952864), ('LIMPARNUM <= 0.00', -0.02664163946504296)]"
1050687001,3,[0.05221912 0.26596259 0.14659138 0.53522692],"[('0.00 < BUSST <= 9.91', -0.3237950291518657), ('registertype <= 8.00', 0.15751570691514716), ('certificate_num <= 0.00', 0.12925955684020032), ('taxtype5 <= 0.00', 0.11198891427476308), ('honor_num <= 0.00', -0.10406398160796755), ('LIMPARNUM <= 0.00', -0.0954484746053694), ('ttype_abnormal_2 <= 0.00', 0.0814714819348256), ('taxtype1 <= 0.00', -0.07449895321080001), ('illegad_num <= 0.00', 0.0675536310732888), ('taxtype6 <= 0.00', 0.021538415412636205)]"
212403366,1,[0.08047179 0.67679725 0.08154047 0.16119049],"[('0.00 < BUSST <= 9.91', 0.14343789142147698), ('INDUSTRYPHY <= 10.00', 0.1168076605643698), ('taxtype2 <= 0.00', -0.1082082200806723), ('registertype > 8.00', 0.10366094754193682), ('tax_type_abnormal_2 > 0.00', 0.06707440026097775), ('province_0 > 0.00', 0.06707440026097773), ('taxtype9 > 0.00', 0.06707440026097516), ('web_dum <= 0.00', -0.0637854114578465), ('honor_num <= 0.00', 0.048951771282525904), ('taxtype1 <= 0.00', 0.04500066367552679)]"
361015755,3,[0.10087209 0.08053602 0.2260131  0.59257879],"[('0.00 < BUSST <= 9.91', -0.33098013939446913), ('LIMPARNUM <= 0.00', 0.32275256616233583), ('tax_dum <= 0.00', 0.16073202541891402), ('registertype > 8.00', -0.16004711561296103), ('taxtype3 <= 0.00', -0.11535636612823537), ('honor_num <= 0.00', 0.08509241640230988), ('tax_state_1 > 0.00', 0.07876009260307688), ('province_5 > 0.00', 0.07876009260307687), ('tax_type_abnormal_4 > 0.00', 0.07876009260307683), ('taxtype0 <= 0.00', -0.059631432861351585)]"
